-.02495,.04
-.0249,.05
-.02485,.04
-.0248,.03
-.02475,.06
-.0247,.04
-.02465,.05
-.0246,.04
-.02455,.05
-.0245,.04
-.02445,.05
-.0244,.05
-.02435,.03
-.0243,.05
-.02425,.04
-.0242,.06
-.02415,.05
-.0241,.04
-.02405,.04
-.024,.03
-.02395,.06
-.0239,.04
-.02385,.05
-.0238,.03
-.02375,.04
-.0237,.03
-.02365,.04
-.0236,.06
-.02355,.04
-.0235,.03
-.02345,.05
-.0234,.05
-.02335,.03
-.0233,.04
-.02325,.03
-.0232,.05
-.02315,.05
-.0231,.03
-.02305,.04
-.023,.04
-.02295,.05
-.0229,.04
-.02285,.04
-.0228,.05
-.02275,.05
-.0227,.04
-.02265,.05
-.0226,.05
-.02255,.05
-.0225,.05
-.02245,.07
-.0224,.05
-.02235,.04
-.0223,.04
-.02225,.04
-.0222,.04
-.02215,.04
-.0221,.03
-.02205,.06
-.022,.05
-.02195,.04
-.0219,.03
-.02185,.03
-.0218,.04
-.02175,.05
-.0217,.04
-.02165,.05
-.0216,.04
-.02155,.04
-.0215,.04
-.02145,.03
-.0214,.04
-.02135,.03
-.0213,.03
-.02125,.04
-.0212,.04
-.02115,.04
-.0211,.05
-.02105,.04
-.021,.03
-.02095,.03
-.0209,.04
-.02085,.05
-.0208,.05
-.02075,.03
-.0207,.03
-.02065,.05
-.0206,.05
-.02055,.05
-.0205,.04
-.02045,.04
-.0204,.05
-.02035,.05
-.0203,.04
-.02025,.03
-.0202,.05
-.02015,.05
-.0201,.04
-.02005,.04
-.02,.05
-.01995,.05
-.0199,.03
-.01985,.05
-.0198,.06
-.01975,.05
-.0197,.05
-.01965,.03
-.0196,.04
-.01955,.06
-.0195,.05
-.01945,.04
-.0194,.04
-.01935,.05
-.0193,.06
-.01925,.04
-.0192,.04
-.01915,.04
-.0191,.06
-.01905,.04
-.019,.04
-.01895,.03
-.0189,.03
-.01885,.05
-.0188,.03
-.01875,.04
-.0187,.04
-.01865,.04
-.0186,.05
-.01855,.03
-.0185,.03
-.01845,.04
-.0184,.05
-.01835,.06
-.0183,.04
-.01825,.03
-.0182,.05
-.01815,.04
-.0181,.04
-.01805,.05
-.018,.04
-.01795,.04
