 dskfile:M7_38C.txt      samp-name:bla38                           
 day-mon-year=      0     0     0     0     0     0     0
 dt= 0.685000E-01 g= 0.789200E+00
1	99	99	4	1
2	99	99	1	1
3	154	154	3	3
4	163	163	4	0
5	189	189	0	2
6	219	219	6	2
7	246	246	5	5
8	316	316	2	5
9	376	376	7	1
10	445	445	11	4
11	471	471	9	2
12	545	545	7	6
13	605	605	9	6
14	661	661	11	6
15	770	770	12	6
16	855	855	13	9
17	922	922	11	4
18	975	975	22	11
19	1048	1048	16	14
20	1152	1152	24	13
21	1235	1235	18	16
22	1278	1278	21	11
23	1277	1277	22	8
24	1334	1334	39	15
25	1350	1350	24	12
26	1413	1413	32	26
27	1423	1423	41	22
28	1374	1374	23	11
29	1359	1359	33	17
30	1390	1390	25	23
31	1294	1294	36	19
32	1256	1256	41	31
33	1137	1137	38	20
34	1131	1131	36	28
35	1091	1091	43	30
36	1045	1045	40	20
37	963	963	38	25
38	886	886	31	30
39	830	830	33	24
40	756	756	45	27
41	707	707	31	22
42	638	638	45	29
43	573	573	33	33
44	482	482	38	26
45	427	427	43	23
46	417	417	38	30
47	395	395	33	26
48	319	319	45	32
49	277	277	44	35
50	261	261	37	34
51	235	235	36	31
52	226	226	33	26
53	190	190	35	29
54	163	163	38	29
55	149	149	47	27
56	163	163	35	26
57	141	141	49	21
58	136	136	34	29
59	105	105	34	37
60	96	96	34	20
61	99	99	43	30
62	86	86	35	26
63	88	88	30	24
64	83	83	27	23
65	72	72	26	22
66	78	78	26	30
67	75	75	34	29
68	66	66	27	20
69	80	80	27	25
70	67	67	26	31
71	91	91	25	21
72	73	73	40	22
73	68	68	35	28
74	62	62	34	22
75	74	74	33	32
76	58	58	25	24
77	63	63	27	15
78	56	56	40	19
79	55	55	31	25
80	48	48	25	27
81	56	56	35	26
82	44	44	21	24
83	55	55	31	28
84	60	60	23	30
85	57	57	30	30
86	56	56	38	23
87	51	51	38	22
88	44	44	34	21
89	46	46	29	24
90	43	43	26	20
91	37	37	31	17
92	26	26	36	21
93	45	45	36	28
94	48	48	31	13
95	29	29	25	23
96	42	42	40	20
97	36	36	30	20
98	43	43	27	16
99	46	46	24	26
100	32	32	30	29
101	37	37	18	30
102	32	32	35	24
103	34	34	30	19
104	29	29	23	19
105	32	32	26	28
106	32	32	25	20
107	29	29	27	16
108	41	41	28	31
109	32	32	37	14
110	20	20	19	13
111	32	32	27	27
112	30	30	25	24
113	38	38	19	20
114	34	34	19	15
115	19	19	23	23
116	23	23	18	12
117	28	28	23	19
118	33	33	20	12
119	27	27	23	23
120	20	20	24	19
121	32	32	23	13
122	24	24	25	19
123	21	21	16	25
124	30	30	36	20
125	26	26	26	14
126	24	24	22	17
127	15	15	25	17
128	30	30	27	20
129	16	16	23	16
130	19	19	19	23
131	27	27	23	20
132	26	26	15	21
133	18	18	22	21
134	24	24	19	12
135	20	20	23	20
136	16	16	22	13
137	22	22	24	15
138	23	23	22	9
139	24	24	19	19
140	20	20	14	14
141	23	23	19	15
142	18	18	21	19
143	19	19	23	15
144	16	16	16	17
145	14	14	20	19
146	16	16	16	17
147	19	19	23	13
148	21	21	19	20
149	14	14	25	13
150	15	15	22	14
151	14	14	27	8
152	12	12	23	17
153	23	23	22	17
154	14	14	22	18
155	9	9	17	17
156	14	14	24	16
157	13	13	15	15
158	18	18	27	21
159	14	14	21	13
160	12	12	15	7
161	13	13	22	9
162	19	19	20	15
163	15	15	10	14
164	20	20	20	13
165	14	14	12	12
166	18	18	17	19
167	15	15	26	14
168	15	15	14	14
169	13	13	30	13
170	16	16	16	8
171	10	10	22	14
172	7	7	24	8
173	7	7	20	8
174	9	9	29	10
175	9	9	17	9
176	14	14	21	17
177	10	10	13	17
178	6	6	12	14
179	10	10	20	15
180	11	11	13	10
181	12	12	15	17
182	8	8	21	9
183	11	11	13	12
184	3	3	17	13
185	10	10	16	14
186	13	13	13	9
187	5	5	16	10
188	10	10	12	15
189	10	10	10	9
190	11	11	17	19
191	12	12	12	10
192	12	12	22	11
193	5	5	14	11
194	7	7	14	11
195	11	11	17	15
196	8	8	17	8
197	7	7	21	10
198	6	6	16	6
199	13	13	20	8
200	10	10	17	9
201	8	8	15	15
202	8	8	18	5
203	4	4	17	7
204	9	9	11	14
205	4	4	20	11
206	4	4	18	7
207	5	5	12	11
208	6	6	12	10
209	12	12	10	9
210	5	5	13	7
211	5	5	9	11
212	5	5	14	12
213	7	7	8	10
214	5	5	8	13
215	7	7	8	10
216	5	5	12	7
217	5	5	13	14
218	4	4	7	13
219	9	9	21	11
220	7	7	13	6
221	7	7	12	6
222	5	5	18	8
223	5	5	11	9
224	5	5	16	13
225	2	2	15	15
226	5	5	12	11
227	0	0	16	13
228	8	8	14	5
229	5	5	6	11
230	6	6	14	8
231	5	5	9	10
232	8	8	17	12
233	6	6	7	16
234	6	6	9	8
235	7	7	13	15
236	7	7	8	11
237	2	2	6	5
238	3	3	9	11
239	3	3	10	17
240	2	2	15	5
241	0	0	16	12
242	8	8	9	7
243	7	7	12	8
244	5	5	18	6
245	5	5	12	5
246	6	6	11	11
247	5	5	12	11
248	4	4	16	10
249	6	6	9	14
250	4	4	17	9
251	4	4	7	8
252	3	3	13	8
253	4	4	18	6
254	3	3	12	6
255	5	5	5	7
