 dskfile:M7_15C.txt      samp-name:m7ani                           
 day-mon-year=      0     0     0     0     0     0     0
 dt= 0.685000E-01 g= 0.789000E+00
99	99	0	0
99	99	5	2
154	154	1	0
163	163	0	1
189	189	3	1
219	219	5	1
246	246	2	3
316	316	1	0
376	376	4	3
445	445	4	3
471	471	6	2
545	545	4	0
605	605	3	5
661	661	13	5
770	770	7	4
855	855	12	3
922	922	12	4
975	975	12	5
1048	1048	13	7
1152	1152	13	9
1235	1235	14	7
1278	1278	20	12
1277	1277	16	8
1334	1334	29	16
1350	1350	28	13
1413	1413	34	11
1423	1423	19	15
1374	1374	37	20
1359	1359	43	23
1390	1390	36	14
1294	1294	33	24
1256	1256	49	19
1137	1137	47	24
1131	1131	47	26
1091	1091	37	13
1045	1045	46	17
963	963	35	25
886	886	36	28
830	830	32	29
756	756	44	31
707	707	57	14
638	638	56	19
573	573	45	28
482	482	62	28
427	427	50	37
417	417	51	31
395	395	45	31
319	319	57	27
277	277	49	30
261	261	36	26
235	235	49	24
226	226	44	29
190	190	51	34
163	163	49	37
149	149	41	28
163	163	44	29
141	141	43	29
136	136	47	24
105	105	44	26
96	96	49	32
99	99	38	23
86	86	44	18
88	88	41	24
83	83	50	31
72	72	37	25
78	78	47	32
75	75	53	22
66	66	54	23
80	80	41	24
67	67	35	26
91	91	35	33
73	73	40	28
68	68	43	24
62	62	37	20
74	74	43	34
58	58	57	23
63	63	61	25
56	56	41	18
55	55	47	26
48	48	36	26
56	56	43	22
44	44	44	26
55	55	35	22
60	60	46	22
57	57	41	19
56	56	42	19
51	51	49	13
44	44	28	13
46	46	40	21
43	43	49	19
37	37	30	30
26	26	43	14
45	45	55	23
48	48	54	24
29	29	39	27
42	42	53	15
36	36	38	18
43	43	28	22
46	46	32	28
32	32	32	26
37	37	34	26
32	32	30	21
34	34	45	19
29	29	44	24
32	32	52	19
32	32	34	16
29	29	32	20
41	41	32	15
32	32	40	22
20	20	38	15
32	32	27	22
30	30	30	12
38	38	36	29
34	34	55	23
19	19	43	13
23	23	41	24
28	28	42	13
33	33	38	19
27	27	33	5
20	20	35	13
32	32	42	13
24	24	25	22
21	21	29	18
30	30	29	16
26	26	31	16
24	24	28	20
15	15	37	13
30	30	32	12
16	16	22	17
19	19	40	22
27	27	26	16
26	26	23	16
18	18	24	19
24	24	26	25
20	20	36	24
16	16	28	14
22	22	34	16
23	23	26	16
24	24	21	17
20	20	21	18
23	23	34	18
18	18	26	15
19	19	27	21
16	16	28	17
14	14	34	16
16	16	25	10
19	19	34	19
21	21	34	17
14	14	35	12
15	15	22	19
14	14	25	16
12	12	33	15
23	23	26	18
14	14	25	20
9	9	30	14
14	14	31	17
13	13	28	13
18	18	29	12
14	14	27	17
12	12	30	12
13	13	27	14
19	19	20	13
15	15	33	20
20	20	22	14
14	14	23	20
18	18	22	15
15	15	15	15
15	15	22	17
13	13	29	17
16	16	22	15
10	10	20	14
7	7	25	14
7	7	24	13
9	9	23	10
9	9	21	21
14	14	21	8
10	10	26	10
6	6	32	13
10	10	18	14
11	11	29	11
12	12	24	15
8	8	33	10
11	11	18	12
3	3	23	10
10	10	18	9
13	13	22	10
5	5	17	11
10	10	25	9
10	10	20	11
11	11	24	16
12	12	26	12
12	12	29	13
5	5	24	24
7	7	16	10
11	11	16	15
8	8	24	16
7	7	21	8
6	6	20	10
13	13	30	9
10	10	16	11
8	8	27	11
8	8	23	9
4	4	22	11
9	9	19	16
4	4	15	10
4	4	27	13
5	5	22	11
6	6	18	16
12	12	24	21
5	5	12	14
5	5	16	10
5	5	24	14
7	7	28	9
5	5	23	7
7	7	10	9
5	5	19	10
5	5	19	15
4	4	14	11
9	9	18	12
7	7	26	14
7	7	24	8
5	5	21	9
5	5	11	8
5	5	17	8
2	2	11	5
5	5	22	12
0	0	19	11
8	8	24	8
5	5	15	13
6	6	21	8
5	5	21	6
8	8	19	9
6	6	8	7
6	6	21	9
7	7	13	19
7	7	20	14
2	2	16	10
3	3	18	10
3	3	14	9
2	2	15	7
0	0	32	4
8	8	23	4
7	7	20	9
5	5	18	11
5	5	17	4
6	6	20	7
5	5	11	5
4	4	23	11
6	6	19	7
4	4	15	3
4	4	17	7
3	3	11	9
4	4	12	8
3	3	15	4
5	5	15	7
