1488.4700	85.0000	170.0000
1487.9745	7.0000	12.0000
1487.4789	1.0000	3.0000
1486.9833	4.0000	9.0000
1486.4878	2.0000	9.0000
1485.9922	3.0000	7.0000
1485.4966	0.0000	3.0000
1485.0011	2.0000	8.0000
1484.5055	5.0000	16.0000
1484.0099	3.0000	8.0000
1483.5144	5.0000	12.0000
1483.0188	2.0000	11.0000
1482.5232	5.0000	9.0000
1482.0277	1.0000	5.0000
1481.5321	0.0000	10.0000
1481.0365	3.0000	9.0000
1480.5409	5.0000	12.0000
1480.0454	0.0000	13.0000
1479.5498	7.0000	17.0000
1479.0542	1.0000	7.0000
1478.5587	4.0000	14.0000
1478.0631	3.0000	14.0000
1477.5675	9.0000	24.0000
1477.0720	6.0000	20.0000
1476.5764	3.0000	16.0000
1476.0808	8.0000	18.0000
1475.5853	9.0000	28.0000
1475.0897	3.0000	12.0000
1474.5941	5.0000	13.0000
1474.0986	4.0000	12.0000
1473.6030	7.0000	14.0000
1473.1074	1.0000	6.0000
1472.6119	6.0000	19.0000
1472.1163	4.0000	17.0000
1471.6207	2.0000	21.0000
1471.1252	3.0000	6.0000
1470.6296	3.0000	8.0000
1470.1340	6.0000	13.0000
1469.6385	2.0000	10.0000
1469.1429	1.0000	10.0000
1468.6473	5.0000	16.0000
1468.1519	2.0000	8.0000
1467.6562	3.0000	8.0000
1467.1606	1.0000	6.0000
1466.6652	6.0000	12.0000
1466.1696	3.0000	11.0000
1465.6740	8.0000	20.0000
1465.1785	6.0000	15.0000
1464.6829	3.0000	11.0000
1464.1873	3.0000	11.0000
1463.6918	8.0000	20.0000
1463.1962	9.0000	15.0000
1462.7006	6.0000	12.0000
1462.2051	2.0000	15.0000
1461.7095	5.0000	14.0000
1461.2139	5.0000	12.0000
1460.7184	3.0000	16.0000
1460.2228	3.0000	15.0000
1459.7272	3.0000	13.0000
1459.2317	6.0000	17.0000
1458.7361	6.0000	18.0000
1458.2405	8.0000	22.0000
1457.7450	6.0000	19.0000
1457.2494	5.0000	22.0000
1456.7538	9.0000	18.0000
1456.2583	5.0000	14.0000
1455.7627	1.0000	9.0000
1455.2671	6.0000	11.0000
1454.7716	4.0000	18.0000
1454.2760	8.0000	28.0000
1453.7804	4.0000	12.0000
1453.2849	6.0000	18.0000
1452.7893	3.0000	14.0000
1452.2937	6.0000	18.0000
1451.7982	8.0000	16.0000
1451.3026	1.0000	19.0000
