Zeit Kanal A
(ms) (mV)
-45.64993000 3.56151000
-45.62945000 3.56151000
-45.60897000 3.56151000
-45.58849000 3.56151000
-45.56801000 3.56151000
-45.54753000 2.66426600
-45.52705000 3.56151000
-45.50657000 3.56151000
-45.48609000 2.66426600
-45.46561000 3.56151000
-45.44513000 2.66426600
-45.42465000 3.56151000
-45.40417000 2.66426600
-45.38369000 3.56151000
-45.36320000 2.66426600
-45.34273000 3.56151000
-45.32225000 3.56151000
-45.30177000 3.56151000
-45.28129000 3.56151000
-45.26081000 3.56151000
-45.24033000 3.56151000
-45.21984000 2.66426600
-45.19937000 3.56151000
-45.17889000 3.56151000
-45.15841000 3.56151000
-45.13793000 3.56151000
-45.11745000 3.56151000
-45.09697000 3.56151000
-45.07648000 3.56151000
-45.05601000 3.56151000
-45.03553000 2.66426600
-45.01505000 3.56151000
-44.99457000 3.56151000
-44.97409000 3.56151000
-44.95361000 3.56151000
-44.93313000 3.56151000
-44.91265000 3.56151000
-44.89217000 2.66426600
-44.87169000 2.66426600
-44.85121000 2.66426600
-44.83073000 3.56151000
-44.81025000 3.56151000
-44.78977000 3.56151000
-44.76929000 3.56151000
-44.74881000 2.66426600
-44.72833000 2.66426600
-44.70785000 2.66426600
-44.68737000 2.66426600
-44.66689000 3.56151000
-44.64641000 2.66426600
-44.62593000 3.56151000
-44.60545000 3.56151000
-44.58497000 3.56151000
-44.56449000 3.56151000
-44.54401000 2.66426600
-44.52353000 2.66426600
-44.50305000 2.66426600
-44.48257000 3.56151000
-44.46209000 2.66426600
-44.44161000 3.56151000
-44.42113000 2.66426600
-44.40065000 2.66426600
-44.38017000 1.76397000
-44.35969000 3.56151000
-44.33921000 2.66426600
-44.31873000 3.56151000
-44.29825000 4.46180600
-44.27777000 3.56151000
-44.25729000 7.15659000
-44.23681000 7.15659000
-44.21633000 6.25629500
-44.19585000 5.35905000
-44.17537000 6.25629500
-44.15488000 5.35905000
-44.13441000 5.35905000
-44.11393000 6.25629500
-44.09345000 5.35905000
-44.07297000 5.35905000
-44.05249000 4.46180600
-44.03201000 3.56151000
