Zeit,Kanal A,Kanal B
(ms),(mV),(V)

-4.80000600,2.46742200,-1.55497900
-4.79872600,2.46742200,-1.53733900
-4.79744600,2.91604400,-1.53733900
-4.79616600,2.91604400,-1.53733900
-4.79488600,2.91604400,-1.53733900
-4.79360600,2.91604400,-1.53733900
-4.79232600,2.46742200,-1.53733900
-4.79104600,2.46742200,-1.53733900
-4.78976600,2.91604400,-1.53733900
-4.78848600,2.46742200,-1.53733900
-4.78720600,2.46742200,-1.53733900
-4.78592600,2.91604400,-1.53733900
-4.78464600,2.46742200,-1.53733900
-4.78336600,2.91604400,-1.53733900
-4.78208600,1.57017700,-1.57261900
-4.78080600,2.01879900,-1.55497900
-4.77952600,1.57017700,-1.55497900
-4.77824600,2.01879900,-1.53733900
-4.77696600,2.46742200,-1.51963900
-4.77568600,2.91604400,-1.51963900
-4.77440600,2.91604400,-1.51963900
-4.77312600,3.36466600,-1.51963900
-4.77184600,3.36466600,-1.51963900
-4.77056600,3.36466600,-1.51963900
-4.76928600,3.36466600,-1.53733900
-4.76800600,2.91604400,-1.53733900
-4.76672600,2.91604400,-1.55497900
-4.76544600,2.91604400,-1.55497900
-4.76416600,2.46742200,-1.55497900
-4.76288600,2.46742200,-1.53733900
-4.76160600,2.46742200,-1.53733900
-4.76032600,2.46742200,-1.53733900
-4.75904600,2.91604400,-1.53733900
-4.75776600,2.91604400,-1.53733900
-4.75648600,2.46742200,-1.53733900
-4.75520600,2.91604400,-1.53733900
-4.75392600,2.91604400,-1.53733900
-4.75264600,2.46742200,-1.53733900
-4.75136600,2.91604400,-1.53733900
-4.75008600,2.91604400,-1.53733900
-4.74880600,2.91604400,-1.53733900
-4.74752600,2.46742200,-1.53733900
-4.74624600,2.01879900,-1.53733900
-4.74496600,2.01879900,-1.55497900
-4.74368600,1.57017700,-1.55497900
-4.74240600,2.01879900,-1.55497900
-4.74112600,2.01879900,-1.53733900
-4.73984600,2.91604400,-1.51963900
-4.73856600,2.91604400,-1.51963900
-4.73728700,2.91604400,-1.51963900
-4.73600600,3.36466600,-1.51963900
-4.73472600,2.91604400,-1.51963900
-4.73344600,3.36466600,-1.53733900
-4.73216600,2.91604400,-1.53733900
-4.73088600,2.91604400,-1.53733900
-4.72960600,2.91604400,-1.55497900
-4.72832600,2.46742200,-1.55497900
-4.72704600,2.46742200,-1.55497900
-4.72576600,2.46742200,-1.53733900
-4.72448600,2.46742200,-1.53733900
-4.72320600,2.91604400,-1.53733900
-4.72192600,2.91604400,-1.53733900
-4.72064600,2.91604400,-1.53733900
-4.71936700,2.91604400,-1.53733900
-4.71808600,2.46742200,-1.53733900
-4.71680600,2.46742200,-1.53733900
-4.71552600,2.46742200,-1.53733900
-4.71424600,2.91604400,-1.53733900
-4.71296600,2.46742200,-1.53733900
-4.71168600,2.46742200,-1.53733900
-4.71040600,2.46742200,-1.53733900
-4.70912600,1.57017700,-1.57261900
-4.70784600,1.57017700,-1.55497900
-4.70656600,2.01879900,-1.55497900
-4.70528600,2.01879900,-1.55497900
