Zeit Kanal A Kanal B
(ms) (mV) (V)
-47.12449000 2.91604400 -1.59025800
-47.10401000 2.46742200 -1.60795900
-47.08353000 2.01879900 -1.60795900
-47.06305000 2.91604400 -1.59025800
-47.04257000 3.36466600 -1.55497900
-47.02209000 2.91604400 -1.59025800
-47.00161000 3.36466600 -1.57261900
-46.98112000 2.91604400 -1.59025800
-46.96065000 2.91604400 -1.60795900
-46.94017000 2.01879900 -1.60795900
-46.91969000 2.46742200 -1.59025800
-46.89921000 1.57017700 -1.60795900
-46.87873000 2.91604400 -1.57261900
-46.85825000 3.36466600 -1.55497900
-46.83776000 2.91604400 -1.59025800
-46.81729000 3.36466600 -1.57261900
-46.79681000 2.91604400 1.58720700
-46.77633000 2.91604400 1.58720700
-46.75585000 2.01879900 1.58720700
-46.73537000 2.91604400 1.58720700
-46.71489000 15.03189000 1.62254700
-46.69441000 14.58327000 1.60484600
-46.67393000 14.13465000 1.62254700
-46.65345000 12.78726000 1.58720700
-46.63297000 12.33863000 1.58720700
-46.61249000 10.99277000 1.62254700
-46.59201000 10.54414000 1.58720700
-46.57153000 9.19827800 1.58720700
-46.55105000 9.19827800 1.58720700
-46.53057000 9.64690000 1.64018700
-46.51009000 8.74965700 1.58720700
-46.48961000 8.74965700 1.62254700
-46.46913000 7.40226500 1.60484600
-46.44865000 6.95364200 1.58720700
-46.42817000 5.15915400 1.56956700
-46.40769000 6.05639800 1.58720700
-46.38721000 5.15915400 1.58720700
-46.36673000 6.05639800 1.60484600
-46.34625000 6.50502000 1.62254700
-46.32577000 5.15915400 1.60484600
-46.30529000 6.05639800 1.62254700
-46.28481000 5.15915400 1.60484600
-46.26433000 4.71053200 1.58720700
-46.24385000 3.81328800 1.58720700
-46.22337000 4.26191000 1.60484600
-46.20289000 4.71053200 1.64018700
-46.18241000 4.26191000 1.60484600
-46.16193000 4.71053200 1.62254700
-46.14145000 3.81328800 1.58720700
-46.12097000 4.26191000 1.58720700
-46.10049000 3.81328800 1.62254700
-46.08001000 3.36466600 1.58720700
-46.05953000 2.91604400 1.58720700
-46.03905000 3.36466600 1.60484600
-46.01857000 3.81328800 1.62254700
-45.99809000 3.36466600 1.60484600
-45.97761000 4.26191000 1.62254700
-45.95713000 3.36466600 1.60484600
-45.93665000 3.36466600 1.58720700
-45.91616000 2.46742200 1.56956700
-45.89569000 3.36466600 1.58720700
-45.87521000 2.91604400 1.58720700
-45.85473000 3.36466600 1.58720700
-45.83425000 3.81328800 1.62254700
-45.81377000 3.36466600 1.58720700
-45.79329000 3.36466600 1.58720700
-45.77280000 2.91604400 1.58720700
-45.75233000 3.36466600 1.58720700
-45.73185000 2.46742200 1.58720700
-45.71137000 3.36466600 1.58720700
-45.69089000 3.36466600 1.62254700
-45.67041000 3.36466600 1.58720700
-45.64993000 3.81328800 1.62254700
-45.62945000 2.91604400 1.58720700
-45.60897000 3.36466600 1.58720700
-45.58849000 3.36466600 1.56956700
-45.56801000 2.91604400 -1.60795900
-45.54753000 2.46742200 -1.60795900
-45.52705000 2.91604400 -1.59025800
-45.50657000 3.36466600 -1.57261900
-45.48609000 2.91604400 -1.60795900
-45.46561000 3.36466600 -1.59025800
-45.44513000 2.91604400 -1.60795900
-45.42465000 2.91604400 -1.60795900
-45.40417000 2.46742200 -1.60795900
-45.38369000 2.91604400 -1.60795900
-45.36320000 2.91604400 -1.57261900
-45.34273000 2.91604400 -1.60795900
-45.32225000 3.36466600 -1.57261900
-45.30177000 2.91604400 -1.60795900
-45.28129000 3.36466600 -1.60795900
-45.26081000 2.91604400 -1.60795900
-45.24033000 2.91604400 -1.60795900
-45.21984000 2.46742200 -1.60795900
-45.19937000 2.91604400 -1.59025800
-45.17889000 3.36466600 -1.57261900
-45.15841000 2.91604400 -1.59025800
-45.13793000 3.36466600 -1.59025800
-45.11745000 2.91604400 -1.59025800
-45.09697000 2.91604400 -1.60795900
-45.07648000 1.57017700 -1.62559900
-45.05601000 2.91604400 -1.60795900
-45.03553000 2.46742200 -1.60795900
-45.01505000 2.91604400 -1.59025800
-44.99457000 3.36466600 -1.57261900
-44.97409000 2.91604400 -1.59025800
-44.95361000 3.36466600 -1.59025800
-44.93313000 2.91604400 -1.60795900
-44.91265000 2.91604400 -1.60795900
-44.89217000 2.46742200 -1.60795900
-44.87169000 2.91604400 -1.59025800
-44.85121000 3.36466600 -1.55497900
-44.83073000 2.91604400 -1.59025800
-44.81025000 3.36466600 -1.57261900
-44.78977000 2.91604400 -1.59025800
-44.76929000 3.36466600 -1.59025800
-44.74881000 2.91604400 -1.59025800
-44.72833000 2.91604400 -1.60795900
-44.70785000 2.01879900 -1.60795900
-44.68737000 2.91604400 -1.59025800
-44.66689000 3.36466600 -1.57261900
-44.64641000 2.91604400 -1.59025800
-44.62593000 3.36466600 -1.57261900
-44.60545000 2.91604400 -1.59025800
-44.58497000 2.91604400 -1.60795900
-44.56449000 1.57017700 -1.62559900
-44.54401000 2.91604400 -1.59025800
-44.52353000 2.46742200 -1.59025800
-44.50305000 2.91604400 -1.59025800
-44.48257000 3.36466600 -1.55497900
-44.46209000 2.91604400 -1.59025800
-44.44161000 3.36466600 -1.59025800
-44.42113000 2.91604400 -1.59025800
-44.40065000 2.91604400 -1.59025800
-44.38017000 2.01879900 -1.60795900
-44.35969000 2.91604400 -1.59025800
-44.33921000 3.36466600 1.62254700
-44.31873000 2.91604400 1.58720700
-44.29825000 3.36466600 1.62254700
-44.27777000 2.91604400 1.58720700
-44.25729000 16.37776000 1.58720700
-44.23681000 17.72363000 1.58720700
-44.21633000 15.03189000 1.58720700
-44.19585000 13.68450000 1.58720700
-44.17537000 13.23588000 1.62254700
-44.15488000 12.78726000 1.62254700
-44.13441000 11.89001000 1.60484600
-44.11393000 11.44139000 1.62254700
-44.09345000 10.09552000 1.60484600
-44.07297000 9.64690000 1.58720700
-44.05249000 8.74965700 1.58720700
-44.03201000 8.74965700 1.58720700
-44.01152000 7.40226500 1.62254700
-43.99105000 7.85088700 1.60484600
-43.97057000 8.30103400 1.62254700
-43.95009000 6.95364200 1.62254700
-43.92961000 6.95364200 1.58720700
-43.90913000 6.50502000 1.58720700
-43.88865000 6.05639800 1.58720700
-43.86817000 4.71053200 1.58720700
-43.84769000 5.60777600 1.62254700
-43.82721000 6.05639800 1.64018700
-43.80673000 5.15915400 1.62254700
-43.78625000 5.15915400 1.62254700
-43.76577000 4.71053200 1.60484600
-43.74529000 4.71053200 1.58720700
-43.72481000 4.26191000 1.58720700
-43.70433000 4.26191000 1.58720700
-43.68385000 3.36466600 1.58720700
-43.66337000 4.26191000 1.62254700
-43.64289000 4.26191000 1.62254700
-43.62241000 3.81328800 1.58720700
-43.60192000 4.26191000 1.62254700
-43.58145000 3.36466600 1.58720700
-43.56097000 3.36466600 1.58720700
-43.54049000 2.91604400 1.58720700
-43.52001000 3.36466600 1.60484600
-43.49953000 3.36466600 1.62254700
-43.47905000 3.36466600 1.58720700
-43.45856000 3.81328800 1.62254700
-43.43809000 3.36466600 1.60484600
-43.41761000 3.36466600 1.58720700
-43.39713000 3.36466600 1.58720700
-43.37665000 2.91604400 1.58720700
-43.35617000 2.46742200 1.58720700
-43.33569000 3.36466600 1.58720700
-43.31520000 3.36466600 1.62254700
-43.29473000 3.36466600 1.58720700
-43.27425000 3.36466600 1.62254700
-43.25377000 2.91604400 1.58720700
-43.23329000 2.91604400 1.58720700
-43.21281000 2.01879900 1.55192700
-43.19233000 2.91604400 1.58720700
-43.17185000 2.46742200 1.58720700
-43.15137000 2.91604400 1.60484600
-43.13089000 3.36466600 1.62254700
-43.11041000 2.91604400 -1.57261900
-43.08993000 3.36466600 -1.59025800
-43.06945000 2.91604400 -1.60795900
-43.04897000 2.91604400 -1.60795900
-43.02849000 2.01879900 -1.62559900
-43.00801000 2.91604400 -1.60795900
-42.98753000 3.36466600 -1.55497900
-42.96705000 2.91604400 -1.60795900
-42.94657000 3.36466600 -1.59025800
-42.92609000 2.91604400 -1.60795900
-42.90561000 2.91604400 -1.60795900
-42.88513000 2.91604400 -1.60795900
-42.86465000 2.46742200 -1.60795900
-42.84417000 2.01879900 -1.60795900
-42.82369000 2.91604400 -1.59025800
-42.80321000 3.36466600 -1.57261900
-42.78273000 2.91604400 -1.59025800
-42.76225000 3.36466600 -1.59025800
-42.74177000 2.91604400 -1.59025800
