3,986	1,084
3,936	1,082
3,886	1,079
3,836	1,069
3,786	1,062
3,736	1,047
3,686	1,038
3,636	1,030
3,586	1,021
3,536	1,008
3,486	0,996
3,436	0,984
3,386	0,974
3,336	0,959
3,286	0,945
3,236	0,935
3,186	0,920
3,136	0,911
3,086	0,898
3,036	0,886
2,986	0,874
2,936	0,859
2,886	0,847
2,836	0,833
2,786	0,820
2,736	0,806
2,686	0,791
2,636	0,781
2,586	0,767
2,536	0,754
2,486	0,742
2,436	0,728
2,386	0,713
2,336	0,698
2,286	0,688
2,236	0,671
2,186	0,662
2,136	0,647
2,086	0,637
2,036	0,623
1,986	0,608
1,936	0,596
1,886	0,581
1,836	0,569
1,786	0,549
1,736	0,537
1,686	0,525
1,636	0,513
1,586	0,496
1,536	0,481
1,486	0,471
1,436	0,454
1,386	0,439
1,336	0,427
1,286	0,413
1,236	0,400
1,186	0,386
1,136	0,371
1,086	0,356
1,036	0,344
0,986	0,327
0,936	0,315
0,886	0,300
0,836	0,288
0,786	0,271
0,736	0,256
0,686	0,244
0,636	0,229
0,586	0,212
0,536	0,203
0,486	0,186
0,436	0,173
0,386	0,159
0,336	0,146
0,286	0,134
0,236	0,120
0,186	0,105
0,136	0,090
0,086	0,078
0,036	0,059
-0,014	0,046
-0,064	0,032
-0,114	0,015
-0,164	0,007
-0,214	-0,010
-0,264	-0,022
-0,314	-0,037
-0,364	-0,054
-0,414	-0,068
-0,464	-0,078
-0,514	-0,095
-0,564	-0,107
-0,614	-0,122
-0,664	-0,137
-0,714	-0,151
-0,764	-0,161
-0,814	-0,176
-0,864	-0,195
-0,914	-0,203
-0,964	-0,220
-1,014	-0,237
-1,064	-0,249
-1,114	-0,261
-1,164	-0,276
-1,214	-0,291
-1,264	-0,305
-1,314	-0,317
-1,364	-0,332
-1,414	-0,344
-1,464	-0,361
-1,514	-0,374
-1,564	-0,386
-1,614	-0,403
-1,664	-0,413
-1,714	-0,422
-1,764	-0,439
-1,814	-0,454
-1,864	-0,466
-1,914	-0,479
-1,964	-0,493
-2,014	-0,508
-2,064	-0,518
-2,114	-0,532
-2,164	-0,544
-2,214	-0,562
-2,264	-0,576
-2,314	-0,588
-2,364	-0,601
-2,414	-0,618
-2,464	-0,630
-2,514	-0,642
-2,564	-0,657
-2,614	-0,671
-2,664	-0,686
-2,714	-0,701
-2,764	-0,715
-2,814	-0,728
-2,864	-0,742
-2,914	-0,757
-2,964	-0,771
-3,014	-0,784
-3,064	-0,801
-3,114	-0,813
-3,164	-0,825
-3,214	-0,840
-3,264	-0,857
-3,314	-0,869
-3,364	-0,881
-3,414	-0,896
-3,464	-0,908
-3,514	-0,920
-3,564	-0,935
-3,614	-0,950
-3,664	-0,962
-3,714	-0,977
-3,764	-0,989
-3,814	-1,001
-3,864	-1,016
-3,914	-1,028
-3,964	-1,045
-4,014	-1,055
-4,014	-1,067
-3,964	-1,074
-3,914	-1,074
-3,864	-1,062
-3,814	-1,055
-3,764	-1,047
-3,714	-1,040
-3,664	-1,028
-3,614	-1,021
-3,564	-1,011
-3,514	-0,996
-3,464	-0,986
-3,414	-0,972
-3,364	-0,959
-3,314	-0,950
-3,264	-0,935
-3,214	-0,925
-3,164	-0,913
-3,114	-0,903
-3,064	-0,889
-3,014	-0,872
-2,964	-0,864
-2,914	-0,850
-2,864	-0,837
-2,814	-0,825
-2,764	-0,808
-2,714	-0,798
-2,664	-0,784
-2,614	-0,769
-2,564	-0,757
-2,514	-0,740
-2,464	-0,728
-2,414	-0,715
-2,364	-0,701
-2,314	-0,688
-2,264	-0,669
-2,214	-0,662
-2,164	-0,645
-2,114	-0,635
-2,064	-0,618
-2,014	-0,603
-1,964	-0,591
-1,914	-0,579
-1,864	-0,564
-1,814	-0,552
-1,764	-0,542
-1,714	-0,522
-1,664	-0,510
-1,614	-0,498
-1,564	-0,483
-1,514	-0,471
-1,464	-0,457
-1,414	-0,444
-1,364	-0,430
-1,314	-0,413
-1,264	-0,400
-1,214	-0,388
-1,164	-0,374
-1,114	-0,359
-1,064	-0,344
-1,014	-0,332
-0,964	-0,320
-0,914	-0,303
-0,864	-0,291
-0,814	-0,276
-0,764	-0,261
-0,714	-0,249
-0,664	-0,232
-0,614	-0,220
-0,564	-0,205
-0,514	-0,188
-0,464	-0,178
-0,414	-0,161
-0,364	-0,149
-0,314	-0,137
-0,264	-0,125
-0,214	-0,107
-0,164	-0,093
-0,114	-0,081
-0,064	-0,066
-0,014	-0,049
0,036	-0,032
0,086	-0,022
0,136	-0,010
0,186	0,007
0,236	0,020
0,286	0,034
0,336	0,049
0,386	0,063
0,436	0,078
0,486	0,090
0,536	0,103
0,586	0,120
0,636	0,129
0,686	0,146
0,736	0,161
0,786	0,173
0,836	0,190
0,886	0,200
0,936	0,217
0,986	0,229
1,036	0,249
1,086	0,259
1,136	0,271
1,186	0,288
1,236	0,300
1,286	0,315
1,336	0,330
1,386	0,344
1,436	0,356
1,486	0,369
1,536	0,386
1,586	0,400
1,636	0,415
1,686	0,427
1,736	0,442
1,786	0,457
1,836	0,471
1,886	0,486
1,936	0,500
1,986	0,510
2,036	0,527
2,086	0,540
2,136	0,554
2,186	0,564
2,236	0,579
2,286	0,591
2,336	0,610
2,386	0,623
2,436	0,635
2,486	0,649
2,536	0,662
2,586	0,676
2,636	0,691
2,686	0,706
2,736	0,718
2,786	0,730
2,836	0,742
2,886	0,757
2,936	0,774
2,986	0,786
3,036	0,801
3,086	0,811
3,136	0,825
3,186	0,842
3,236	0,852
3,286	0,867
3,336	0,881
3,386	0,894
3,436	0,911
3,486	0,920
3,536	0,933
3,586	0,950
3,636	0,962
3,686	0,974
3,736	0,989
3,786	1,001
3,836	1,013
3,886	1,030
3,936	1,042
3,986	1,052
